netMosAvg,d2cLossAvg,e2eJitterAvg,d2cJitterAvg,e2eLossAvg,jitDepthAvg,playSpeedAvg
1.92012,35,590,590,35,2577,1.0
1.01839,51,836,836,51,3269,1.0
1.0,65,965,965,65,3985,1.0
1.0,82,1013,1013,82,4204,1.0
2.53337,40,261,261,40,4287,1.0
3.65418,12,222,222,12,3880,1.0
2.5119,26,450,450,26,3080,1.0
1.36293,41,691,691,41,2993,1.0
1.04328,55,808,808,55,3725,1.0
1.0,71,946,946,71,3761,1.0
1.0,86,1073,1073,86,4082,1.0
3.27837,22,230,230,22,4099,1.0
3.29742,17,291,291,17,3410,1.0
1.8366,34,538,538,34,2700,1.0
1.11401,49,728,728,49,3022,1.0
1.0,63,940,940,63,3796,1.0
1.0,77,992,992,77,4100,1.0
1.0,91,1215,1215,91,4148,1.0
3.6146199999999995,12,140,140,12,4085,1.0
2.84313,22,374,374,22,3225,1.0
1.7003599999999999,37,626,626,37,2804,1.0
1.03695,51,811,811,51,3235,1.0
1.0,66,955,955,66,3861,1.0
1.0,81,1081,1081,81,4150,1.0
2.7532900000000002,37,213,213,37,4199,1.0
3.6198900000000003,12,216,216,12,3791,1.0
2.5508900000000003,26,446,446,26,2991,1.0
1.2771700000000001,41,694,694,41,2754,1.0
1.04328,54,860,860,54,3679,1.0
1.0,74,974,974,74,3815,1.0
1.0,87,1073,1073,87,4099,1.0
3.6725,12,96,96,12,4114,1.0
3.3062699999999996,16,271,271,16,3424,1.0
1.98325,33,534,534,33,2690,1.0
1.27491,46,747,747,46,3401,1.0
1.01894,62,1003,1003,62,3905,1.0
1.0,76,1024,1024,76,4130,1.0
1.0,87,974,974,87,4171,1.0
3.68265,11,136,136,11,4057,1.0
2.9861400000000002,22,377,377,22,3197,1.0
1.93013,34,585,585,34,2619,1.0
1.03165,52,813,813,52,3020,1.0
1.0,67,963,963,67,3934,1.0
1.0,81,1139,1139,81,4084,1.0
2.94082,36,469,469,36,4118,1.0
3.66295,12,204,204,12,3731,1.0
2.50258,26,483,483,26,2911,1.0
1.52742,40,640,640,40,2708,1.0
